state	county	wheat1_a	wheat1_y	wheat2_a	wheat2_y	oats_a	oats_y	rice_a	rice_y	corn_a	corn_y	cotton_a	cotton_y	scane_a	scane_y
14	1010	522	10722	0	0	184	5888	0	0	1110	28420	0	0	0	0
14	1030	96	1431	1	12	397	12981	0	0	330	12106	0	0	0	0
14	1050	65	1151	21	549	9228	232988	0	0	189	5388	0	0	0	0
14	1070	14204	203527	251	3385	13902	413371	0	0	13466	481479	0	0	0	0
14	1090	14983	181813	428	6568	13159	328756	0	0	15820	559031	0	0	0	0
14	1110	10409	207071	222	3689	32707	1208287	0	0	12182	462168	0	0	0	0
14	1130	257	3335	12	148	3298	97016	0	0	1245	38266	0	0	0	0
14	1150	135	2026	10	147	9747	242582	0	0	1179	41919	0	0	0	0
14	1170	649	9447	128	1907	22005	604710	0	0	1943	67436	0	0	0	0
14	1190	14239	216240	0	0	11320	344489	0	0	12198	479330	0	0	0	0
14	1210	2898	33707	37	304	9508	263000	0	0	5876	203516	0	0	0	0
14	1230	925	14062	56	757	6883	166130	0	0	1848	50499	0	0	0	0
14	1250	11405	113487	134	1223	17711	425273	0	0	23445	872786	0	0	0	0
14	1270	42	687	18	220	3943	138726	0	0	713	28185	0	0	0	0
14	1290	19111	234688	1063	12107	25530	645013	0	0	27565	1099864	0	0	0	0
14	1310	362	5003	41	554	4758	107599	0	0	2687	91033	0	0	0	0
14	1330	74719	1606492	822	17694	23138	826682	0	0	75186	3149340	0	0	0	0
14	0	934656	15315943	11268	165465	871306	23966483	0	0	1086129	42013323	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	0	0	0
															
21	10	43540	584929	269	2424	21777	176762	0	0	19525	94734	0	0	0	0
21	30	6574	95881	0	0	225	4624	0	0	21336	325114	4050	2903	0	0
21	50	21330	401502	21	155	9751	110463	0	0	24710	383426	0	0	0	0
21	70	701	4646	1615	10527	18031	262821	0	0	21403	447222	0	0	0	0
21	90	6832	60900	94	618	1671	10718	0	0	23287	105609	0	0	0	0
21	110	3320	45108	49	190	29200	291312	0	0	143280	3600925	0	0	0	0
21	130	8033	149858	0	0	422	6474	0	0	16062	153795	0	0	0	0
21	150	1111	14546	359	2722	34945	460196	0	0	48820	1613020	0	0	0	0
21	170	32163	575242	841	9971	11095	145042	0	0	51172	807203	0	0	0	0
21	190	19756	345639	99	752	109223	1457911	0	0	214073	5054749	0	0	0	0
21	210	59420	1308770	85	688	17308	206816	0	0	111884	2077639	0	0	0	0
21	230	20445	326518	83	769	6262	71767	0	0	53854	1625295	0	0	0	0
21	250	7203	73462	0	0	8788	77618	0	0	49082	970664	0	0	0	0
21	270	57799	1071172	0	0	24106	431440	0	0	37882	437977	0	0	0	0
21	290	23425	450235	169	1210	20165	366287	0	0	78097	1994546	0	0	0	0
21	310	295	2651	968	4696	20016	268747	0	0	24060	313031	0	0	0	0
21	330	17870	291727	12	76	4742	66434	0	0	46145	1426537	0	0	0	0
21	350	6683	74229	4	33	4608	58088	0	0	36491	1023065	0	0	0	0
21	370	803	4729	2362	12128	51366	754503	0	0	83349	2019090	0	0	0	0
21	390	8170	133666	45	324	32475	414534	0	0	80218	2271689	0	0	0	0
21	410	19346	424292	224	4839	35520	644925	0	0	78813	1946171	0	0	0	0
21	430	296	1815	280	2046	11626	213047	0	0	15036	270990	0	0	0	0
21	450	38746	863945	907	10545	56992	1227255	0	0	103244	3034600	0	0	0	0
21	470	16793	293066	0	0	5765	106226	0	0	27116	857651	0	0	0	0
21	490	17560	204845	151	918	13119	128467	0	0	42500	924549	0	0	0	0
21	510	25504	343342	825	10895	13790	146726	0	0	70219	1253807	0	0	0	0
21	530	695	6922	0	0	76261	889594	0	0	107611	2400876	0	0	0	0
21	550	12728	161243	0	0	4677	83039	0	0	36772	480789	0	0	0	0
21	570	45274	755454	442	5092	17475	203553	0	0	103784	2117476	0	0	0	0
21	590	22060	391272	0	0	3948	91675	0	0	41794	1298884	0	0	0	0
21	610	36043	757105	124	1099	4175	73990	0	0	63546	521164	0	0	0	0
21	630	0	0	30	125	47990	403145	0	0	78830	1021451	0	0	0	0
21	650	14851	195756	0	0	7724	141327	0	0	45470	962377	0	0	0	0
21	670	26428	412593	249	3282	33432	374307	0	0	54817	487978	0	0	0	0
21	690	237	3180	0	0	4	70	0	0	11615	269301	0	0	0	0
21	710	7387	110051	284	3062	9798	104766	0	0	47598	1214326	0	0	0	0
21	730	3312	47068	180	1031	36732	424373	0	0	137332	4363286	0	0	0	0
21	750	4100	40919	404	3638	197313	2432106	0	0	230024	4165813	0	0	0	0
21	770	37005	626085	0	0	6338	130810	0	0	50065	784482	0	0	0	0
21	790	12118	149274	91	705	12773	152559	0	0	54465	1364776	0	0	0	0
21	810	12225	137467	128	1202	6608	84295	0	0	53466	743857	4	1	0	0
21	830	27119	519021	0	0	3865	50223	0	0	19834	187847	0	0	0	0
21	850	143	926	764	6871	31573	469926	0	0	39613	1403012	0	0	0	0
21	870	2078	23856	0	0	321	6214	0	0	26185	514716	0	0	0	0
21	890	728	4351	707	5610	29609	537439	0	0	46520	1234063	0	0	0	0
21	910	3919	26971	99	316	90265	896279	0	0	113276	1093979	0	0	0	0
21	930	46	438	0	0	42258	465079	0	0	41872	548037	0	0	0	0
21	950	3460	27820	56	258	9949	110547	0	0	102537	3028185	0	0	0	0
21	970	475	2894	2037	11802	12409	155294	0	0	10682	163125	0	0	0	0
21	990	471	1819	0	0	67214	469149	0	0	195242	2784305	0	0	0	0
21	1010	24058	436700	220	3036	4068	60621	0	0	44293	1413240	0	0	0	0
21	1030	5727	58785	61	612	47155	678626	0	0	117040	3408977	0	0	0	0
21	1050	737	7401	538	4055	158233	1487787	0	0	236351	4344954	0	0	0	0
21	1070	58524	1393878	142	1271	47360	788917	0	0	116456	3943290	0	0	0	0
