state	county	corn_a	corn_y	wheat_a	wheat_y	oats_a	oats_y	rice_a	rice_y	cotton_a	cotton_y	scane_a	scane_y
14	1210	11581	427696	16978	306885	11114	324171	0	0	0	0	0	0
14	1230	3544	109530	2214	31370	8253	200450	0	0	0	0	0	0
14	1250	564	18210	683	11989	7394	182719	0	0	0	0	0	0
14	1270	18070	694609	8387	128617	19574	562831	0	0	0	0	0	0
14	1290	352	12448	56	912	3817	113066	0	0	0	0	0	0
14	1310	22988	929799	17342	261667	25215	717649	0	0	0	0	0	0
14	1330	1033	37500	416	8296	4574	101848	0	0	0	0	0	0
14	0	70417	2763484	87052	1816980	24208	737501	0	0	0	0	0	0
		950074	35294020	987100	17410853	866704	22921194	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	0
21	10												
21	30	75341	2322440	42000	557345	43029	1330869	0	0	0	0	0	0
21	50	17596	423928	1828	23076	183	2645	0	0	919	587	0	0
21	70	32996	782386	16325	146297	8007	120692	0	0	0	0	0	0
21	90	24810	842399	2051	31809	23645	624750	0	0	0	0	0	0
21	110	26675	918025	7970	109687	10643	339907	0	0	0	0	0	0
21	130	173288	7457755	18870	366716	90058	3616189	0	0	0	0	0	0
21	150	17293	547012	6366	71090	877	19583	0	0	0	0	0	0
21	170	52473	2153944	1573	35626	35595	1449520	0	0	0	0	0	0
21	190	48565	1914231	37434	598741	13912	484203	0	0	0	0	0	0
21	210	270720	11073873	32186	651205	151943	5392443	0	0	0	0	0	0
21	230	131792	4385878	50945	790740	37698	1116763	0	0	0	0	0	0
21	250	34775	841599	9361	110823	7394	127974	0	0	0	0	0	0
21	270	37712	747575	2289	16162	8209	108915	0	0	0	0	0	0
21	290	37035	833419	51363	477687	24278	436296	0	0	0	0	0	0
21	310	92994	3044591	25034	445059	34792	1079638	0	0	0	0	0	0
21	330	25391	802552	6090	120294	36111	1351049	0	0	0	0	0	0
21	350	33601	886769	10977	129815	5884	114784	0	0	0	0	0	0
21	370	27138	572168	3625	39210	8250	134658	0	0	0	0	0	0
21	390	114921	4723823	6850	134050	68150	2604599	0	0	0	0	0	0
21	410	94211	3690307	14374	283528	51046	1909187	0	0	0	0	0	0
21	430	97930	3767865	22792	429358	49938	1659936	0	0	0	0	0	0
21	450	17448	602288	4451	93196	22203	795559	0	0	0	0	0	0
21	470	116838	4345079	30783	616986	68957	2223973	0	0	0	0	0	0
21	490	23600	694372	9359	111914	7363	145527	0	0	0	0	0	0
21	510	35979	632500	11793	122380	16008	165367	0	0	0	0	0	0
21	530	58468	1279929	12795	119884	15674	200422	0	0	0	0	0	0
21	550	126230	4790707	3289	72136	92086	3033984	0	0	0	0	0	0
21	570	28693	568636	3935	38779	4860	82703	0	0	0	0	0	0
21	590	106737	4156883	51412	792641	39595	1460641	0	0	0	0	0	0
21	610	42040	1209675	14370	194623	5173	100157	0	0	0	0	0	0
21	630	70547	2718356	35148	454799	9284	287890	0	0	0	0	0	0
21	650	98156	3390097	8568	146867	63719	2035584	0	0	0	0	0	0
21	670	35578	668874	5546	50803	6977	95575	0	0	0	0	0	0
21	690	101458	3671416	26255	285398	51597	1800476	0	0	0	0	0	0
21	710	13090	340691	95	1200	3	56	0	0	0	0	0	0
21	730	62049	2307776	7287	88638	20995	700313	0	0	0	0	0	0
21	750	162739	6583036	12485	252522	80779	2929284	0	0	0	0	0	0
21	770	261128	9325502	10913	212592	206691	6630561	0	0	0	0	0	0
21	790	35843	928322	20682	197526	7120	126291	0	0	0	0	0	0
21	810	37613	678035	3721	30994	9313	109830	0	0	0	0	0	0
21	830	34041	559740	4825	40780	8023	109515	0	0	0	0	0	0
21	850	36884	1293845	21936	265392	5856	140329	0	0	0	0	0	0
21	870	37077	1332242	926	17250	29899	1043435	0	0	0	0	0	0
21	890	21480	460864	51	708	163	2660	0	0	0	0	0	0
21	910	50146	1937634	7596	147460	39160	1393842	0	0	0	0	0	0
21	930	126180	4278154	16662	317875	96703	3035982	0	0	0	0	0	0
21	950	66293	2486072	5655	110388	46030	1584451	0	0	0	0	0	0
21	970	122792	4760482	14247	241554	55895	2035023	0	0	0	0	0	0
21	990	9933	363604	3937	79644	19246	733414	0	0	0	0	0	0
21	1010	259462	10256271	22089	394100	163225	5956316	0	0	0	0	0	0
21	1030	32255	846200	19996	198739	5943	101111	0	0	0	0	0	0
21	1050	138075	5243467	10009	200757	92669	3165865	0	0	0	0	0	0
21	1070	280339	10959684	18910	358294	208424	7314371	0	0	0	0	0	0
21	1090	125688	5143427	65659	1306020	55397	2092428	0	0	0	0	0	0
21	1110	99411	4187229	27214	401441	40400	1657463	0	0	0	0	0	0
21	1130	37906	1336519	4906	87889	41715	1249012	0	0	0	0	0	0
21	1150	306024	12005650	28578	590962	169162	6383312	0	0	0	0	0	0
21	1170	135312	5296311	37794	773784	50733	1761552	0	0	0	0	0	0
21	1190	83805	2313218	48086	469901	13845	324891	0	0	0	0	0	0
21	1210	55575	1411624	82983	761700	14996	251436	0	0	0	0	0	0
21	1230	35009	600864	4399	42104	6952	83558	0	0	0	0	0	0
21	1250	77122	3035595	7368	113995	50606	1734056	0	0	0	0	0	0
21	1270	83921	2722807	69422	965368	21050	628673	0	0	0	0	0	0
21	1290	18446	456250	2791	33248	2525	44708	0	0	0	0	0	0
21	1310	50510	2076155	40514	641347	17814	688563	0	0	0	0	0	0
21	1330	97442	3766449	5525	96642	31813	1069626	0	0	0	0	0	0
21	1350	20892	691325	50550	546483	6239	130869	0	0	0	0	0	0
21	1370	73751	1763890	36774	323853	17038	305210	0	0	0	0	0	0
21	1390	87783	3493465	55298	1003434	23717	880362	0	0	0	0	0	0
21	1410	78182	2549024	15473	295109	27175	877374	0	0	0	0	0	0
21	1430	108387	4018375	3787	73932	94790	2988441	0	0	0	0	0	0
21	1450	86214	3052066	18265	273174	44044	1577492	0	0	0	0	0	0
21	1470	21322	346427	19556	153471	11432	175159	0	0	0	0	0	0
21	1490	108260	4557232	24969	513542	50525	1825776	0	0	0	0	0	0
21	1510	80801	2632758	42783	477388	19816	526775	0	0	0	0	0	0
21	1530	20857	455804	601	6021	1941	34110	0	0	0	0	0	0
21	1550	18213	377317	2805	34247	1570	26486	0	0	694	239	0	0
21	1570	28114	1176600	7196	130666	11257	455187	0	0	0	0	0	0
21	1590	31269	902825	57476	523275	6700	120064	0	0	0	0	0	0
21	1610	29460	619475	3627	31592	8667	114370	0	0	0	0	0	0
21	1630	56053	2069132	3845	78227	21752	704815	0	0	0	0	0	0
21	1650	49974	1664450	87079	761223	20586	453711	0	0	0	0	0	0
21	1670	37984	998558	10343	123611	6130	129126	0	0	0	0	0	0
21	1690	159826	6308367	73924	1381457	57334	2125816	0	0	0	0	0	0
21	1710	39526	1351840	30737	390580	14130	457790	0	0	0	0	0	0
21	1730	38963	1438518	25687	341991	3939	107892	0	0	0	0	0	0
21	1750	110287	3097215	13680	184825	39516	1007003	0	0	0	0	0	0
21	1770	62624	2505666	1790	28711	31660	1152013	0	0	0	0	0	0
21	1790	57979	2143270	1982	41395	54347	1885659	0	0	0	0	0	0
21	1810	116399	4503692	58810	982337	53303	1982739	0	0	0	0	0	0
21	1830	19724	480345	7114	95303	746	13165	0	0	0	0	0	0
21	1850	186844	6598859	33625	689454	119797	3907402	0	0	0	0	0	0
21	1870	28079	977198	17104	232391	7625	161494	0	0	0	0	0	0
21	1890	113654	4752480	6517	108120	46405	1855658	0	0	0	0	0	0
21	1910	29650	617184	75267	651597	10633	182701	0	0	0	0	0	0
21	1930	52848	1022743	3072	32387	5764	86179	0	0	0	0	0	0
21	1950	63154	1887377	30559	351149	9911	192647	0	0	0	0	0	0
21	1970	122144	5087812	22096	515479	64668	2534792	0	0	0	0	0	0
21	1990	125702	4105687	21737	430481	112222	3751497	0	0	0	0	0	0
21	2010	30548	660696	2355	27016	1515	25234	0	0	0	0	0	0
21	2030	44344	1513354	2943	42972	44502	1080828	0	0	0	0	0	0
21	0	111640	4674271	8705	164518	78538	2887519	0	0	0	0	0	0
		7774070	275850367	2093399	30150949	3856217	128257740	0	0	1613	826	0	0
		0	0	0	0	0	0	0	0	0	0	0	0
22	10												
22	30	39368	1138228	13198	230206	29636	835520	0	0	0	0	0	0
22	50	63771	2106573	23299	432388	52373	1734139	0	0	0	0	0	0
22	70	45853	1449990	37516	486548	5503	98519	0	0	0	0	0	0
22	90	95043	3317139	8605	180888	79012	2664062	0	0	0	0	0	0
22	110	17929	411959	3089	56395	12961	312341	0	0	0	0	0	0
22	130	60726	1664502	11340	252726	37742	1020177	0	0	0	0	0	0
22	150	5539	126700	322	2897	284	4439	0	0	0	0	0	0
22	170	54575	1878936	21291	475538	28019	941377	0	0	0	0	0	0
22	190	54936	2006943	19907	388394	30174	1025021	0	0	0	0	0	0
22	210	18636	407486	11183	158699	2659	45180	0	0	0	0	0	0
22	230	25138	586226	14751	120154	5048	63401	0	0	0	0	0	0
22	250	60268	1928938	33232	783333	32969	1049214	0	0	0	0	0	0
22	270	15399	337087	3085	29228	1995	30718	0	0	0	0	0	0
22	290	49393	1628876	20918	221992	8767	160948	0	0	0	0	0	0
22	310	15593	370824	7989	101343	3072	50348	0	0	0	0	0	0
22	330	39880	1414791	34589	536423	4613	100001	0	0	0	0	0	0
22	350	27528	886184	18761	359369	21403	712803	0	0	0	0	0	0
22	370	52544	1692807	10116	200570	28631	879484	0	0	0	0	0	0
22	390	28060	844018	26904	254820	10352	193418	0	0	0	0	0	0
22	410	34205	1026095	25076	476979	21673	684832	0	0	0	0	0	0
22	430	28962	1141905	19301	350135	2255	57710	0	0	0	0	0	0
22	450	5035	121249	3073	46405	1047	25212	0	0	0	0	0	0
22	470	51801	1702474	21522	418034	30573	857807	0	0	0	0	0	0
22	490	33236	1103714	23406	345814	2038	42267	0	0	0	0	0	0
22	510	47778	1559976	7868	141147	22423	695042	0	0	0	0	0	0
22	530	57377	1805986	35464	429954	4382	85148	0	0	0	0	0	0
22	550	48909	1587116	12467	261703	31895	979736	0	0	0	0	0	0
