state	county	name	farms	facres	farmequi	horses	mules	tractors
54	530	GIBSON	6815	323881	1517359	4981	10633	232
54	550	GILES	4811	343869	808522	4832	6176	95
54	570	GRAINGER	2140	162749	264629	1980	1494	31
54	590	GREENE	5004	325421	1317158	6580	3072	145
54	610	GRUNDY	524	41431	84370	388	573	9
54	630	HAMBLEN	1501	103319	389910	1488	1318	50
54	650	HAMILTON	2407	189517	592917	1017	2746	131
54	670	HANCOCK	1613	117716	159106	1059	1294	16
54	690	HARDEMAN	3396	291008	433365	1933	4835	84
54	710	HARDIN	2708	199387	380485	842	5023	80
54	730	HAWKINS	3505	258573	579529	3026	2387	87
54	750	HAYWOOD	5079	223158	801860	2936	7403	82
54	770	HENDERSON	3290	269754	516646	978	5855	23
54	790	HENRY	3296	298547	610061	2734	5476	97
54	810	HICKMAN	1647	195327	328747	949	3103	60
54	830	HOUSTON	789	82727	98448	440	1094	17
54	850	HUMPHREYS	1452	184422	246484	774	2801	53
54	870	JACKSON	2389	170484	250586	1185	3424	37
