state	county	corn_a	corn_y	wheat_a	wheat_y	oats_a	oats_y	rice_a	rice_y	cotton_a	cotton_y	scane_a	scane_y
35	570	98973	1714979	27740	362571	735	14479	0	0	0	0	0	0
35	590	101221	2649741	106603	2780330	35701	1142474	0	0	0	0	0	0
35	610	95829	1900980	40353	698952	9015	178731	0	0	0	0	0	0
35	630	139801	2368617	35299	473588	6540	113179	0	0	0	0	0	0
35	650	127273	2607296	54532	625999	1847	33377	0	0	0	0	0	0
35	670	157020	3203002	109020	2190710	50053	1458608	0	0	0	0	0	0
35	690	39960	566938	17767	289523	8124	177725	0	0	0	0	0	0
35	710	25857	408803	277	5046	3378	77847	0	0	0	0	0	0
35	730	94954	2088733	23964	345033	3406	75122	0	0	0	0	0	0
35	750	2331	42684	26	290	20	600	0	0	0	0	0	0
35	770	86811	1475509	2886	45413	28791	512730	0	0	0	0	0	0
35	790	89836	2488473	46667	1051948	21108	642619	0	0	0	0	0	0
35	810	110941	3134519	73928	1621614	30260	893686	0	0	0	0	0	0
35	830	97077	2085613	51787	673644	4815	106541	0	0	0	0	0	0
35	850	86769	1472510	33354	436213	2219	34861	0	0	0	0	0	0
35	870	72888	1500154	63662	801715	1377	25593	0	0	0	0	0	0
35	890	136959	1845814	969	12061	33591	819291	0	0	0	0	0	0
35	910	6976	95850	5	58	20	260	0	0	0	0	0	0
35	930	79657	1847411	31596	595261	21361	482604	0	0	0	0	0	0
35	950	98796	2220028	69555	1318845	29806	863688	0	0	0	0	0	0
35	970	60949	1254350	33501	686625	18836	510727	0	0	0	0	0	0
35	990	88527	2085886	81828	1535471	15596	371056	0	0	0	0	0	0
35	1010	72031	834411	28876	475505	11940	295313	0	0	0	0	0	0
35	1030	41993	584646	945	10953	6335	121173	0	0	0	0	0	0
35	1050	11167	88210	48427	615101	10888	134293	0	0	0	0	0	0
35	1070	176873	4035936	1291	27003	93514	2690756	0	0	0	0	0	0
35	1090	154562	3495315	86887	1925896	45240	1301994	0	0	0	0	0	0
35	1110	169307	2207166	39492	576341	14015	315879	0	0	0	0	0	0
35	1130	25118	380051	734	8525	6289	143369	0	0	0	0	0	0
35	1150	20113	322485	194	2368	2905	58310	0	0	0	0	0	0
35	1170	18711	258356	8	48	68	1100	0	0	0	0	0	0
35	1190	115066	2431987	1893	34167	57618	1484554	0	0	0	0	0	0
35	1210	74378	2020817	25997	507420	21929	721580	0	0	0	0	0	0
35	1230	48205	620958	21403	297151	10790	265097	0	0	0	0	0	0
35	1250	71741	1193541	17935	304426	21877	522011	0	0	0	0	0	0
35	1270	81034	2127309	32215	711281	17347	505758	0	0	0	0	0	0
35	1290	101175	2244953	49771	892277	30746	579209	0	0	0	0	0	0
35	1310	119143	2697096	60463	1435698	37524	1022656	0	0	0	0	0	0
35	1330	71104	1495148	22187	458955	17511	473214	0	0	0	0	0	0
35	1350	94468	1150322	74023	1137132	15347	317264	0	0	0	0	0	0
35	1370	97143	2179089	81167	1187216	6429	129424	0	0	0	0	0	0
35	1390	115174	2423013	825	14267	59223	1592608	0	0	0	0	0	0
35	1410	142399	2961544	19715	338942	65581	1569176	0	0	0	0	0	0
35	1430	85538	1956334	46406	920333	25044	666153	0	0	0	0	0	0
35	1450	109553	2609195	65688	871507	2276	40638	0	0	0	0	0	0
35	1470	106364	2684156	27645	650116	21295	685819	0	0	0	0	0	0
35	1490	26303	284620	94	1659	3082	61617	0	0	0	0	0	0
35	1510	87950	2340504	98344	2358954	35231	1168712	0	0	0	0	0	0
35	1530	44204	1302605	11258	230646	13443	385214	0	0	0	0	0	0
35	1550	163076	4480129	60931	1405176	62069	1874811	0	0	0	0	0	0
35	1570	22679	340875	22741	383673	11503	391533	0	0	0	0	0	0
35	1590	103487	2883079	83461	2008905	38529	1346305	0	0	0	0	0	0
35	1610	42648	416742	22227	219492	25240	437612	0	0	0	0	0	0
