state	county	name	var1	var2	var42	var99	var169	var170	var171	var173	var174	var175	var229	var236	var238	var249	var269	var273
63	150	BOISE	1822	200	74868	93950	1155	75	1080	123	50	73	52	746	723	0	0	0
63	170	BONNER	12957	1107	153699	376680	1908	66	1842	16	2	14	64	580	629	0	0	0
63	190	BONNEVILLE	17501	1540	300056	1179354	10081	1059	9022	131	32	99	45	31672	8256	0	0	0
63	210	BOUNDARY	4474	304	57552	154423	846	59	787	9	0	9	49	1004	1518	0	0	0
63	230	BUTTE	2940	288	65998	221948	2701	359	2342	39	4	35	0	2496	864	0	0	0
63	250	CAMAS	1730	251	132792	309194	2587	270	2317	47	10	37	0	22055	561	0	0	0
63	270	CANYON	26932	3145	215634	1453655	10899	573	10326	345	80	265	12856	21625	3785	0	0	0
63	290	CARIBOU	2191	191	109172	129159	1965	193	1772	52	12	40	0	5429	1446	0	0	0
63	310	CASSIA	15659	1380	242391	962583	8490	974	7516	248	75	173	2353	19707	1650	0	0	0
63	330	CLARK	1886	150	226973	177218	3274	590	2684	50	7	43	0	640	413	0	0	0
63	350	CLEARWATER	4993	438	82260	200870	1570	70	1500	38	6	32	879	3848	2269	0	0	0
63	370	CUSTER	3550	333	109933	233400	3663	575	3088	60	13	47	0	748	1062	0	0	0
63	390	ELMORE	5087	407	257648	289620	2636	391	2245	112	14	98	282	3185	116	0	0	0
63	410	FRANKLIN	8650	1031	179817	775453	5779	793	4986	17	2	15	67	27323	1999	0	0	0
63	430	FREMONT	10380	1207	326668	1241302	7646	738	6908	114	7	107	36	46049	10630	0	0	0
63	450	GEM	6427	636	119515	392831	3024	281	2743	366	61	305	1966	2677	1426	0	0	0
63	470	GOODING	7548	901	98293	551306	3977	288	3689	194	66	128	1450	2214	699	0	0	0
63	490	IDAHO	11749	1508	606612	1175501	11345	981	10364	540	87	453	2705	67985	7857	0	0	0
63	510	JEFFERSON	9441	1163	154839	607292	6649	699	5950	51	11	40	10	8843	3340	0	0	0
63	530	JEROME	5729	785	95492	524660	3960	248	3712	118	32	86	2216	8688	759	0	0	0
63	550	KOOTENAI	17878	1288	185356	600199	3218	101	3117	86	8	78	1536	13751	4850	0	0	0
63	570	LATAH	18092	1286	213299	876007	6156	292	5864	283	55	228	948	43036	14911	0	0	0
63	590	LEMHI	5164	495	154770	374335	6899	1111	5788	117	33	84	5	1797	2082	0	0	0
63	610	LEWIS	5851	622	213630	703549	5272	530	4742	186	74	112	1385	59582	4914	0	0	0
63	630	LINCOLN	3446	352	54437	254082	2201	290	1911	80	21	59	43	3965	590	0	0	0
63	650	MADISON	9167	881	169194	711362	6166	640	5526	125	50	75	7	25607	4810	0	0	0
63	670	MINIDOKA	9035	943	71764	465617	3741	230	3511	180	49	131	3414	3523	988	0	0	0
63	690	NEZ PERCE	15253	1165	338988	995700	7936	586	7350	546	70	476	7070	59356	6128	0	0	0
63	710	ONEIDA	6723	1022	310770	617595	7841	841	7000	294	145	149	3	64978	743	0	0	0
63	730	OWYHEE	4694	786	217279	504864	9717	1646	8071	257	58	199	1481	1263	427	0	0	0
63	750	PAYETTE	7021	768	63925	504817	2816	183	2633	311	71	240	2557	2841	1035	0	0	0
63	770	POWER	5105	794	262830	617318	6713	829	5884	496	123	373	267	62813	617	0	0	0
63	790	SHOSHONE	14250	118	16294	76295	397	5	392	24	2	22	2	5	63	0	0	0
63	810	TETON	3921	550	141763	391290	3972	420	3552	71	15	56	0	25656	10497	0	0	0
63	830	TWIN FALLS	28398	2499	271329	2237041	12912	958	11954	804	139	665	10935	28138	2285	0	0	0
63	850	VALLEY	2524	334	153714	279193	2158	180	1978	75	18	57	6	2028	6367	0	0	0
63	870	WASHINGTON	9424	1025	263930	518474	6720	758	5962	362	125	237	2515	12260	569	0	0	0
63	875	YELLOWSTONE N.P.																
64	0	MONTANA	548889	46904	32735723	30632871	594173	86303	507870	10452	2753	7699	398420	3102879	455385	0	0	0
64	10	BEAVERHEAD	7369	789	998380	909153	19874	2796	17078	284	110	174	0	2176	5747	0	0	0
64	30	BIG HORN	7015	1260	1164302	608939	16437	3142	13295	222	27	195	9363	44448	7429	0	0	0
64	50	BLAINE	9057	1135	895995	585473	14634	2094	12540	112	24	88	6088	61948	11828	0	0	0
64	70	BROADWATER	3239	321	261290	352740	4403	551	3852	481	167	314	238	15428	5424	0	0	0
64	90	CARBON	15279	1095	399154	701820	9960	801	9159	194	38	156	6970	44632	8239	0	0	0
64	110	CARTER	3972	770	874404	398020	12608	2410	10198	267	101	166	13844	13862	7069	0	0	0
64	130	CASCADE	38836	1257	1058147	1134040	12280	1039	11241	415	56	359	6873	106911	9518	0	0	0
